hidden_units,learning_rate,batch_size,epochs,loss_train,accuracy_train,mse_train,loss_test,accuracy_test,mse_test,time
30,0.005,8,60,0.35885873436927795,0.984375,0.09339801967144012,0.6045085191726685,0.75,0.20616687834262848,1.5525596141815186
40,0.005,8,60,0.31670987606048584,1.0,0.07695572823286057,0.5865010619163513,0.75,0.19862905144691467,1.527846097946167
20,0.005,8,80,0.23706558346748352,1.0,0.048339128494262695,0.5685796737670898,0.8125,0.18934714794158936,1.9742257595062256
25,0.005,8,80,0.24060043692588806,1.0,0.04793907701969147,0.5495229363441467,0.84375,0.18047919869422913,1.9002766609191895
30,0.005,8,80,0.20890764892101288,1.0,0.038256220519542694,0.6142796277999878,0.71875,0.2113102525472641,1.901045799255371
40,0.005,8,80,0.13878417015075684,1.0,0.018471146002411842,0.5259218215942383,0.828125,0.1688375174999237,1.8872449398040771
20,0.005,8,100,0.20519748330116272,1.0,0.03687470406293869,0.5841313004493713,0.8125,0.19663558900356293,2.3050637245178223
25,0.005,8,100,0.14330178499221802,1.0,0.01950250007212162,0.5630147457122803,0.828125,0.1860637366771698,2.3320424556732178
30,0.005,8,100,0.11964519321918488,1.0,0.013724168762564659,0.5237539410591125,0.828125,0.1685452163219452,2.2748045921325684
40,0.005,8,100,0.07271157205104828,1.0,0.005444556474685669,0.46572262048721313,0.828125,0.14491161704063416,2.3011951446533203
20,0.005,10,60,0.4609224200248718,0.953125,0.13843849301338196,0.6208752393722534,0.734375,0.2145567089319229,1.5809578895568848
25,0.005,10,60,0.37344890832901,0.984375,0.09951503574848175,0.6354055404663086,0.703125,0.2215956747531891,1.565601110458374
30,0.005,10,60,0.32803255319595337,1.0,0.08084207773208618,0.6587347388267517,0.71875,0.23280635476112366,1.9562022686004639
40,0.005,10,60,0.27136820554733276,1.0,0.05916214734315872,0.5586124658584595,0.828125,0.18442986905574799,1.5783627033233643
20,0.005,10,80,0.29258859157562256,1.0,0.0674791932106018,0.6147253513336182,0.78125,0.21144017577171326,1.9508037567138672
25,0.005,10,80,0.2340279370546341,1.0,0.04627494141459465,0.5487515330314636,0.8125,0.1798943728208542,1.9072983264923096
30,0.005,10,80,0.18892857432365417,1.0,0.0324859619140625,0.5566378235816956,0.828125,0.18315432965755463,1.908050775527954
40,0.005,10,80,0.1434573084115982,1.0,0.02011590078473091,0.5513672828674316,0.796875,0.1816471368074417,1.8869962692260742
20,0.005,10,100,0.18825741112232208,1.0,0.03200024738907814,0.49866029620170593,0.828125,0.15809163451194763,2.2741730213165283
25,0.005,10,100,0.13987746834754944,1.0,0.01849617063999176,0.4975106418132782,0.828125,0.15796786546707153,2.2200725078582764
