seed,epoch,loss_train,accuracy_train,mse_train,loss_remaining_train_pool,accuracy_remaining_train_pool,mse_remaining_train_pool,loss_test,accuracy_test,mse_test
323,0,0.6776558756828308,0.582812488079071,0.24231655895709991,0.6905414462089539,0.5348307490348816,0.24868784844875336,0.6893509030342102,0.5377868413925171,0.24809518456459045
323,1,0.6706100702285767,0.617968738079071,0.2388053834438324,0.6831620335578918,0.5633137822151184,0.2450353056192398,0.6816787719726562,0.5674682855606079,0.2442994862794876
323,2,0.6620802283287048,0.678906261920929,0.23457081615924835,0.6756086349487305,0.5912435054779053,0.24129851162433624,0.6737847924232483,0.5980285406112671,0.24039697647094727
323,3,0.6527244448661804,0.694531261920929,0.22993537783622742,0.6674022078514099,0.6216796636581421,0.23724302649497986,0.6653427481651306,0.628430187702179,0.23622873425483704
323,4,0.6412391662597656,0.735156238079071,0.22426922619342804,0.6583330631256104,0.6515299677848816,0.23276931047439575,0.6560314297676086,0.6586364507675171,0.23164057731628418
323,5,0.6291133761405945,0.7671875357627869,0.21831372380256653,0.6482639312744141,0.6824544072151184,0.22781521081924438,0.6457637548446655,0.688549816608429,0.22659537196159363
323,6,0.6154009103775024,0.7796875238418579,0.21164004504680634,0.6371979117393494,0.713085949420929,0.22238820791244507,0.6345158815383911,0.716412365436554,0.2210889309644699
323,7,0.6017756462097168,0.8109375238418579,0.20497730374336243,0.6250380873680115,0.7423502802848816,0.21645516157150269,0.6222468614578247,0.7445739507675171,0.21511176228523254
323,8,0.5862017273902893,0.828906238079071,0.19744989275932312,0.6119144558906555,0.7675455808639526,0.21008799970149994,0.6090518832206726,0.7687133550643921,0.20872312784194946
323,9,0.568568229675293,0.844531238079071,0.1890774667263031,0.5978301763534546,0.791796863079071,0.20330244302749634,0.5948967933654785,0.788623034954071,0.2019234597682953
323,10,0.5521730184555054,0.8460937738418579,0.1814889758825302,0.58284592628479,0.8116210699081421,0.19614623486995697,0.5799421668052673,0.8059631586074829,0.19480973482131958
